URL,Page Type,HTTP Status,Indexable,Canonical,Title,H1,Meta Description Present,Schema Types,Hreflang Count,Hreflang Issues,Sitemap,Breadcrumb,Content Depth (lines),Internal Links,Images,Image Alts,Language Decl,Audit Priority
/fr/,Homepage,200,Yes,https://www.paraisodeaves.com/fr/,Perroquets à Vendre en France | Éleveur CITES,Perroquets Exotiques à Vendre en France,Yes,"WebSite, Organization, LocalBusiness, FAQPage, BreadcrumbList, ImageGallery",4,None,Yes,Yes,~680,40+,26,26,fr-FR,Medium
/fr/acheter-perroquet/,Commercial,200,Yes,https://www.paraisodeaves.com/fr/acheter-perroquet/,Acheter un Perroquet | Éleveur CITES & Livraison France,Acheter un Perroquet,Yes,"WebPage, Organization, LocalBusiness, FAQPage, BreadcrumbList",4,None,Yes,Yes,501,35+,4,4,fr-FR,High
/fr/acheter-ara/,Commercial,200,Yes,https://www.paraisodeaves.com/fr/acheter-ara/,Acheter un Ara | Aras avec CITES & Livraison France,Acheter un Ara,Yes,"WebPage, Organization, LocalBusiness, FAQPage, BreadcrumbList",4,None,Yes,Yes,501,35+,3,3,fr-FR,High
/fr/acheter-gris-du-gabon/,Commercial,200,Yes,https://www.paraisodeaves.com/fr/acheter-gris-du-gabon/,Acheter un Gris du Gabon | CITES & Livraison France,Acheter un Gris du Gabon,Yes,"WebPage, Organization, LocalBusiness, FAQPage, BreadcrumbList",4,None,Yes,Yes,495,35+,3,3,fr-FR,High
/fr/vente-oiseaux/,Commercial,200,Yes,https://www.paraisodeaves.com/fr/vente-oiseaux/,Vente d'Oiseaux Exotiques | Éleveur CITES & Livraison France,Vente d'Oiseaux Exotiques,Yes,"WebPage, Organization, LocalBusiness, FAQPage, BreadcrumbList",4,None,Yes,Yes,~450,30+,3,3,fr-FR,Medium
/fr/perroquets/,Commercial Hub,200,Yes,https://www.paraisodeaves.com/fr/perroquets/,Perroquets à Vendre en France | Toutes les Espèces,Toutes les Espèces de Perroquets à Vendre en France,Yes,"FAQPage, BreadcrumbList",4,None,Yes,Yes,~400,30+,3,3,fr-FR,High
/fr/perroquets-disponibles/,Available Birds,200,Yes,https://www.paraisodeaves.com/fr/perroquets-disponibles/,Perroquets Disponibles à Vendre en France | CITES,Perroquets Disponibles,Yes,"CollectionPage, FAQPage, BreadcrumbList",4,None,Yes,Yes,~400,28,3,3,fr-FR,Critical
/fr/perroquets-eleves-a-la-main/,Commercial,200,Yes,https://www.paraisodeaves.com/fr/perroquets-eleves-a-la-main/,Perroquets Élevés à la Main | Oiseaux Apprivoisés & CITES,Perroquets Élevés à la Main,Yes,"WebPage, Organization, LocalBusiness, FAQPage, BreadcrumbList",4,None,Yes,Yes,~450,32,3,3,fr-FR,High
/fr/adopter-perroquet/,Adoption,200,Yes,https://www.paraisodeaves.com/fr/adopter-perroquet/,Adopter un Perroquet | Élevage Responsable & CITES,Adopter un Perroquet,Yes,"WebPage, Organization, LocalBusiness, FAQPage, BreadcrumbList",4,None,Yes,Yes,~480,32,3,3,fr-FR,High
/fr/processus-adoption/,Adoption Process,200,Yes,https://www.paraisodeaves.com/fr/processus-adoption/,Processus d'Adoption | Paraíso de Aves France,Notre Processus d'Adoption,Yes,None,4,ES/PT hreflang points to homepages not equivalent pages,Yes,No,~300,20,2,2,fr-FR,High
